id,sku,name,short_description,image,price,product_link,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
112984330,2482140621946,Giá Đỡ Laptop Để Bàn Hợp Kim Nhôm Cao Cấp - Gấp Gọn Tiện Lợi - Tản Nhiệt Mang Đến Góc Độ Nhìn Khoa Học Khi Làm Việc Học Tập-Hàng Chính Hãng,"Đặc điểm nổi bật:Chất liệu hợp kim nhôm cao cấp với độ dày 0.65cmCấu trúc bền chắc, gọn nhẹ nhưng chịu lực mạnh tới 30kgGia công CNC, bề mặt xử lý tinh xảo Thiết kế tản nhiệt, bảo vệ máy tính hoạt...",https://salt.tikicdn.com/cache/280x280/ts/product/c7/15/43/f5e3b0269da8fb62bf6bed2317a6c184.jpg,298000,,298000,,0,0,57,,available,,1000,1000,,885047,TRIỀU CƯƠNG TECH 
36729773,7482196896613,Dây sạc USB Type C sạc nhanh Qualcomm Quick Charge cho dòng Samsung và các máy có cổng Type-C khác ,"Truyền dữ liệu tốtTương thích tốt với các dòng điện thoại xài giao tiếp USB Type CTương thích với hầu hết các chuẩn sạc nhanh hiện nay: Quick charge 4.0, 3.0, 2.0, VOOC, Pump ExpressDùng với cốc s...",https://salt.tikicdn.com/cache/280x280/ts/product/88/bc/17/5b5075444654912ded46e6c3301ccea0.png,39000,,39000,,0,0,7,,available,,1000,1000,,111461,OEM
103637245,1141057510515,"Dây sạc type C to C PROLiNK GCC_60_01 dài 1M, sạc siêu nhanh 60W, dành cho Samsung, Xiaomi, iPad Pro - Hàng chính hãng","Dây sạc type C to C PROLINK GCC_60_01 dài 1M, sạc siêu nhanh 60W, dành cho Samsung, Xiaomi, iPad Pro ️ Cáp đa năng 60W đáng tin cậy này rất phù hợp để sạc và đồng bộ hóa các thiết bị hỗ trợ USB-C vớ...",https://salt.tikicdn.com/cache/280x280/ts/product/df/4a/09/7fa2bcf2cf3ee65056c74e10def5a920.jpg,79000,,100000,,21000,21,139,,available,,1000,1000,,33036,Prolink
3237483,9418024663131,Bàn Phím Gaming DareU LK145 USB - Hàng Chính Hãng,"Bàn Phím Gaming DareU LK145 USB được thiết kế khá độc đáo, đậm chất game thủ với khung bằng nhựa cứng cáp, mang lại điểm nhấn hết sức đẹp mắt cho sản phẩm.Bàn phím gaming DareU LK145 là dòng bàn phí...",https://salt.tikicdn.com/cache/280x280/ts/product/0a/5f/b7/9867c4cf0152b622252633006c75b086.jpg,325000,,325000,,0,0,7,,available,,1000,1000,,150002,DareU
74165192,5783542493435,Giá Đỡ Laptop Đế Tản Nhiệt Laptop Để Bàn Chất Liệu Hợp Kim Nhôm Cao Cấp Tản Nhiệt – Nâng Hạ Điều Chỉnh Độ Cao - Gấp Gọn Cho Kích Cỡ 10-18 Inches Hàng Chính Hãng,"Đặc điểm nổi bật:Chất liệu hợp kim nhôm cao cấpCông nghệ anodized và phun cát tinh tếCấu trúc bền chắc, gọn nhẹ nhưng chịu lực mạnhThiết kế tản nhiệt, bảo vệ máy tính hoạt động thông thoángThiết ...",https://salt.tikicdn.com/cache/280x280/ts/product/70/00/2e/4e66bc83a6b7b146b883b1358f174f7f.jpg,599000,,599000,,0,0,38,,available,,1000,1000,,885047,TRIỀU CƯƠNG TECH 
192127239,5961901571629,"Đầu Chuyển Đổi USB Type C Sang USB 3.0 Hàng Chính Hãng, Hub Type C, Hub chuyển đổi USB Type-C Sang USB 3.0 - Hàng Chính Hãng ","Đầu Chuyển Đổi USB Type C Sang USB 3.0 Hàng Chính Hãng, Hub Type C, Hub chuyển đổi USB Type-C Sang USB 3.0 - Hàng Chính Hãng VINBUY ...",https://salt.tikicdn.com/cache/280x280/ts/product/75/39/01/f4058acc8da532a0447c54add92b39f2.png,29000,,90000,,61000,68,28,,available,,1000,1000,,4224691,VinBuy
180912,6809175012092,Bàn Phím Bluetooth Logitech K380 - Hàng Chính Hãng,Thiết kế gọn nhẹ và độc đáoBàn Phím Bluetooth Logitech K380 có thiết kế gọn nhẹ và độc đáo với các nút phím tròn mang nét cổ điển nhưng rất ấn tượng. Vì không có bàn phím số nên sản phẩm khá nhỏ gọn ...,https://salt.tikicdn.com/cache/280x280/ts/product/9f/9c/45/4f7b52dc478eb651b32d5a4f12f9f3d4.jpg,699000,,699000,,0,0,532,,available,,1000,1000,,18984,Logitech
47470738,2435472858541,Giá đỡ điện thoại kẹp điện thoại cao cấp 126  - Hàng Chính Hãng,Giá đỡ điện thoại kẹp điện thoại cao cấp 126 - Hàng Chính HãngGiá đỡ Điện thoạiKẹp Điện ThoạiTương Thích điện thoại dưới 6 InchKẹp điện thoại vào ghếKẹp điện thoại vào BànKẹp điện thoại Livestr...,https://salt.tikicdn.com/cache/280x280/ts/product/dd/44/ff/8d32c0940df86be0cadafe6813572690.jpg,89500,,159000,,69500,44,435,,available,,1000,1000,,500047,PKCB
20600692,7882952773125,Dây cáp sạc cho iphone 4/ipad 1-2-3 (loại cực tốt),"Truyền tải dữ liệu nhanh chóng Tuông thích với điện thoải iPhone 4 iPhone 4s/Ipad 1,2,3 Sạc pin nhanh chóng Đồng bộ dữ liệu an toàn...",https://salt.tikicdn.com/cache/280x280/ts/product/dd/80/d3/6ec37b736e18e7c38a0e080a907c9c40.jpg,38000,,38000,,0,0,63,,available,,1000,1000,,111461,OEM
87108370,3807336408507,Dây Cáp Sạc Nhanh USB Type C To Type C 60W Dài 1.2M Hỗ Trợ Sạc Nhanh iPhone 15 CHOETECH XCC-1003 - Hàng Chính Hãng," THÔNG TIN SẢN PHẨM Mã sản phẩm: XCC-1003 Dây cáp Type-C to C PD 60W Chất liệu: Bện nylon + vỏ nhôm Trọng lượng: 100 gram Công suất 60W Chiều dài 1.2m Chứng chỉ: CE, FCC, RoHS Tốc độ truyền dữ liệu: 4...",https://salt.tikicdn.com/cache/280x280/ts/product/bc/89/a5/fc3651423445e439d64445c8781d4cb5.png,119000,,210000,,91000,43,67,,available,,1000,1000,,246045,CHOETECH
